"label","estimate","conf.low","conf.high","p.value"
"Reg channel: via4",4.94516459451738,4.57775201471557,5.34206588479602,0
"Plan length: 1-7 days",4.88307646841389,4.76894103333366,4.99994351570109,0
"Reg channel: via3",4.32309851916485,4.00106108365883,4.67105610627536,1.01602792438218e-300
"Reg channel: via9",3.39102294204607,3.13970698022344,3.66245533927642,4.22913461426797e-212
"Auto-renew: No",1.58375721441127,1.55631845359265,1.61167973585968,0
"Reg channel: Other",1.49183188038699,1.34611400753367,1.65332382464143,2.3901476513506e-14
"Payment method: PM35",1.34593504623336,1.23574588544844,1.46594956941476,9.2848613802339e-12
"Plan length: 0 days",1.31317116027125,1.28308588757874,1.3439618601232,1.87879561678094e-117
"Payment method: Other",0.74474244321382,0.688845671800626,0.805174989739387,1.32583298589593e-13
"Payment method: PM38",0.684055856057883,0.631552372932213,0.740924164427623,1.17084160986885e-20
"City: city5",0.603269384496885,0.5961128412974,0.610511844501073,0
"Payment method: PM32",0.601350706928271,0.553140711009658,0.653762533701514,8.43542707535423e-33
"City: city22",0.591547043053223,0.582652989028159,0.600576862617107,0
"City: Other",0.58475205421409,0.579450781688573,0.590101826959605,0
"City: city4",0.58187341763204,0.573572594186918,0.590294371764307,0
"Payment method: PM40",0.562721671271106,0.51968386551326,0.609323668352499,1.53861152016816e-45
"Plan length: 32-100 days",0.496976693293872,0.483502442918906,0.510826444198001,0
"City: city13",0.477450750131232,0.47086014521079,0.484133603405371,0
"Plan length: 101-200 days",0.456691592290062,0.446469775432867,0.467147435156658,0
"Payment method: PM36",0.443551702062311,0.409531809739572,0.480397633891935,1.07410924235792e-88
"Plan length: 200+ days",0.211309677382117,0.205261296891016,0.21753628390569,0
